RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;kol
R132*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R133*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R134*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R135*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R136*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R137*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R138*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R139*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R140*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R141*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R142*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R143*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
R144*;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*) не уст.; ; ; ;50; ;Прочие изделия; ;1
VD1;Диод;BAV23; ; ; ; ;NXP; ; ; ; ;200; ;Прочие изделия; ;1
XP1;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP2;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP3;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP4;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP5;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP6;Вилка;53398-1071; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XP7;Вилка;QMS-078-02-SL-D-RA-MG; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; ;1
XS1;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;1
XS2;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;1
XS3;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;1
XS4;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;1
XS5;Вилка;83612-9020; ; ; ; ;Molex; ; ; ; ; ; ;Прочие изделия; ;1
XS6;Розетка;280-027S5S50MTNA; ; ; ; ;Glenair; ; ; ; ; ; ;Прочие изделия; ;1
XS7;Розетка;MUSB-C111-M0; ; ; ; ;Amphenol; ; ; ; ; ; ;Прочие изделия; ;1
XS8;Розетка;VJ779-10006; ; ; ; ;Amphenol; ; ; ; ; ;VJ773-10001;Прочие изделия; ;1
XT1;Лепесток; ;2-1,6-6,0-14-00; ;ГОСТ 16840-78; ; ; ; ; ; ; ; ;Стандартные изделия; ;1
XT2;Лепесток; ;2-1,6-6,0-14-00; ;ГОСТ 16840-78; ; ; ; ; ; ; ; ;Стандартные изделия; ;1
XT3;Ловитель; ; ; ; ;СТИК.741532.035;НИИАО; ; ; ; ; ; ;Детали; ;1
XT4;Ловитель; ; ; ; ;СТИК.741532.035;НИИАО; ; ; ; ; ; ;Детали; ;1
X1;Кабель;FFMD-05-T-02.00-01-N; ; ; ; ;Samtec; ; ; ; ; ; ;Прочие изделия; ;1
