RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote
R74;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R75;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R76;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R77;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R78;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R79;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R80;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R81;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R82;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R83;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R84;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R85;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R86;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R87;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R88;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R89;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R90;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R91;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R92;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R93;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R94;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R95;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R96;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R97;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R98;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R99;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R100;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R101;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R102;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R103;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R104;Резистор чип;CRCW06030000Z0; ;0; ; ; ; ; ; ; ;75; ;Прочие изделия; 
R105;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R106;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R107;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R108;Резистор чип;CRCW06032K20JN; ;2,2 к; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R109;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R110;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R111;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R112;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R113;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R114;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R115;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R116;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R117;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R118;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R119;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R120;Резистор чип;CRCW06030000Z0; ;0; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R121;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R122;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R123;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R124;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay; ; ; ; ;50; ;Прочие изделия; 
R125;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R126;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R127;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay;*; ; ; ;75; ;Прочие изделия; 
R128;Резистор чип;CRCW0603220RJN; ;220; ; ;Vishay; ; ; ; ;75; ;Прочие изделия; 
R129;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R130;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R131;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R132;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R133;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R134;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R135;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R136;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R137;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R138;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R139;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R140;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R141;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R142;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R143;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
R144;Резистор чип;CRCW04020000Z0; ;0; ; ;Vishay;*; ; ; ;50; ;Прочие изделия; 
VD1;Диод;BAV23; ; ; ; ;NXP; ; ; ; ;200; ;Прочие изделия; 
XN1;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN2;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN3;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN4;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN5;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN6;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN7;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN8;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN9;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN10;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN11;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN12;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN13;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN14;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN15;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN16;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN17;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN18;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN19;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN20;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN21;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN22;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN23;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN24;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN25;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN26;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
XN27;Контрольная точка;Testpoint_ALL_TYPES; ; ; ; ; ; ; ; ; ; ; ; ; 
