RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
C82            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C83            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C84            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C85            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C86            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C87            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C88            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C89            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C90            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C91            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C92            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C93            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C94            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C95            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C96            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C97            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C98            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C99            ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C100           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C101           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C102           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C103           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C104           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
C105           ;               ;           ;                                                                ;0,1 לך    ;          ;                              ;Kemet                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5         
