RefDes         ;Name           ;Part Number;PartNumberRU                                                    ;Value     ;TU GOST   ;PartDocument                  ;Manufacturer                    ;Unplaced        ;Case            ;TCx             ;PowerRating     ;Voltage         ;ReplacementPN                                                   ;SpecSection                     ;BomNote         ;Tolerance 
R139           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R140           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R141           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R142           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R143           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R144           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R145           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R146           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R147           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R148           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R149           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R150           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R151           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R152           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R153           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R154           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R155           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R156           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R157           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R158           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R159           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R160           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R161           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R162           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R163           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R164           ;               ;           ;                                                                ;49,4 ־ל   ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R165           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R166           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R167           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R168           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R169           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R170           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R171           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R172           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R173           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R174           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R175           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R176           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R177           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R178           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R179           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R180           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R181           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R182           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R183           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R184           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R185           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R186           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R187           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R188           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R189           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R190           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R191           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R192           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R193           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R194           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R195           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R196           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R197           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R198           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R199           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R200           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R201           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R202           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R203           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R204           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R205           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R206           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R207           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R208           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R209           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R210           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R211           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R212           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R213           ;               ;           ;                                                                ;4,99 Ê    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;1%        
R214           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R215           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R216           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R217           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R218           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R219           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R220           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R221           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R222           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R223           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R224           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R225           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R226           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R227           ;               ;           ;                                                                ;33 ־ל     ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R228           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R229           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R230           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R231           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R232           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R233           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R234           ;               ;           ;                                                                ;0 ־ל      ;          ;                              ;Vishay                          ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
R235           ;               ;           ;                                                                ;330 ־ל    ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R236           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
R237           ;               ;           ;                                                                ;10 ך      ;          ;                              ;Vishay                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;5%        
T1             ;               ;           ;                                                                ;          ;          ;                              ;Halo                            ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
T2             ;               ;           ;                                                                ;          ;          ;                              ;Halo                            ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
T3             ;               ;           ;                                                                ;          ;          ;                              ;Halo                            ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
T4             ;               ;           ;                                                                ;          ;          ;                              ;Halo                            ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
VD1            ;               ;           ;                                                                ;          ;          ;                              ;Vishay Semiconductors           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
VD2            ;               ;           ;                                                                ;          ;          ;                              ;Vishay Semiconductors           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
VD3            ;               ;           ;                                                                ;          ;          ;                              ;Vishay Semiconductors           ;*               ;                ;                ;                ;                ;                                                                ;                                ;                ;          
XP1            ;               ;           ;                                                                ;          ;          ;                              ;Samtec                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
XP2            ;               ;           ;                                                                ;          ;          ;                              ;Samtec                          ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
XP3            ;               ;           ;                                                                ;          ;          ;                              ;MOLEX                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
XS1            ;               ;           ;                                                                ;          ;          ;                              ;Molex                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
XS2            ;               ;           ;                                                                ;          ;          ;                              ;Molex                           ;                ;                ;                ;                ;                ;                                                                ;                                ;                ;          
