       Variants report for Z:\PRJ\SEZ\MKm-3\PCB\MKm-3\MKm-3\PCB\MKm-3.pcb
       ==================================================================
Variant group: (Default)

Date : 19.09.2016 15:42:13

+---------+--------------------------+-----+-----+
| Ref Des | Part Number              | 01  | 02  |
| HL15    | BL-HG036D-TRB            |     |     |
| HL16    | BL-HG036D-TRB            |     |     |
| HL17    | BL-HG036D-TRB            |     |     |
| HL18    | L-4060VH/2GD             | DNP |     |
| HL19    | L-4060VH/2GD             | DNP |     |
| HL20    | BL-HG036D-TRB            | DNP |     |
| HL21    | L-4060VH/2GD             | DNP |     |
| HL22    | BL-HG036D-TRB            |     |     |
| L1      | XAL4020-102MEC           |     |     |
| L2      | XAL4020-102MEC           |     |     |
| L3      | XAL5050-822MEB           |     |     |
| R1      | CRCW040210K0JKED         |     |     |
| R2      | CRCW040210K0JKED         |     |     |
| R3      | CRCW04020000Z0ED         |     |     |
| R4      | CRCW04020000Z0ED         |     |     |
| R5      | CRCW04020000Z0ED         |     |     |
| R6      | CRCW04020000Z0ED         |     |     |
| R7      | CRCW04020000Z0ED         |     |     |
| R8      | CRCW04020000Z0ED         |     |     |
| R9      | CRCW04020000Z0ED         |     |     |
| R10     | CRCW0402100KFKED         |     |     |
| R11     | CRCW0402330RJKED         |     |     |
| R12     | CRCW04021K62FKED         |     |     |
| R13     | CRCW04020000Z0ED         | DNP | DNP |
| R14     | CRCW0402182KFKED         |     |     |
| R15     | CRCW04020000Z0ED         |     |     |
| R16     | CRCW040210K0JKED         |     |     |
| R17     | CRCW0402576KFKED         |     |     |
| R18     | CRCW04021M00FKED         |     |     |
| R19     | CRCW04020000Z0ED         |     |     |
| R20     | CRCW0402330RJKED         |     |     |
| R21     | CRCW0402100KFKED         |     |     |
| R22     | CRCW04020000Z0ED         |     |     |
| R23     | CRCW04020000Z0ED         |     |     |
| R24     | CRCW04020000Z0ED         | DNP |     |
| R25     | CRCW04020000Z0ED         | DNP |     |
| R26     | CRCW040210K0JKED         | DNP |     |
| R27     | CRCW040210K0JKED         | DNP |     |
| R28     | CRCW04020000Z0ED         | DNP | DNP |
| R29     | CRCW04020000Z0ED         | DNP | DNP |
| R30     | CRCW040210K0JKED         |     |     |
| R31     | CRCW040210K0JKED         |     |     |
| R32     | CRCW04020000Z0ED         | DNP | DNP |
